,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-06-12 15:59:16.875014,0.202,0.26732999801635743,-8.128676,-0.08499214,-0.0023258238,-8.316287,-7.9568977,-8.112842,59.123184,48.000935,59.251312
2010-06-14 02:57:37.499988,0.188,0.27461999893188477,-8.113434,-0.08512066,-0.0023165783,-8.031663,-8.197001,-8.111638,45.931923,35.321995,45.84628
2010-06-15 14:57:13.125025,0.172,0.2748900032043457,-8.196647,-0.08515288,-0.0023128046,-8.1589775,-8.167338,-8.263622,52.51518,41.386974,52.5395
2010-06-16 02:16:13.125010,0.209,0.2655299949645996,-7.385597,-0.08520579,-0.0023042604,-7.3576913,-7.2672634,-7.5318375,40.242588,30.39148,40.222546
2010-06-17 01:55:35.624983,0.206,0.30167999267578127,-8.235649,-0.085266545,-0.0022943094,-8.296614,-8.083511,-8.326823,63.38271,52.232708,63.2994
2010-06-17 15:55:48.749005,0.206,0.28902999877929686,-8.19981,-0.085266545,-0.0022943094,-8.129932,-8.138678,-8.330819,55.803066,44.720245,55.925755
2010-06-19 02:54:07.500000,0.187,0.26996000289916994,-8.1778145,-0.08527956,-0.0022871608,-8.0371895,-8.192031,-8.304221,40.681133,30.769537,40.603535
2010-06-20 14:53:43.124997,0.176,0.26191999435424806,-8.279749,-0.08526849,-0.0022893285,-8.255433,-8.094238,-8.489576,56.4055,45.08878,56.4253
2010-06-21 02:12:45.000008,0.165,0.2577099990844727,-8.326967,-0.08523134,-0.0022940016,-8.324787,-8.329717,-8.326399,45.32672,34.830814,45.28751
2010-06-22 15:52:20.625008,0.151,0.25194000244140624,-8.318276,-0.08519341,-0.002298582,-8.3904505,-8.235804,-8.328576,52.07114,41.116528,52.181538
2010-06-23 03:11:22.500019,0.144,0.24832000732421874,-8.266519,-0.085220955,-0.00229766,-8.209673,-8.306624,-8.283259,61.66317,50.241802,61.586647
2010-06-25 14:50:13.125009,0.129,0.28636999130249025,-8.239586,-0.08522715,-0.002293147,-8.23218,-8.381587,-8.104992,59.85181,48.479397,59.874638
2010-06-26 02:09:14.999980,0.131,0.288799991607666,-8.097813,-0.08518543,-0.0022950715,-8.138245,-8.036051,-8.1191435,49.8759,38.983196,49.829277
2010-06-27 15:48:50.625021,0.131,0.259379997253418,-8.222863,-0.08512063,-0.002298456,-8.349957,-8.038618,-8.280015,47.85865,37.184315,47.94865
2010-06-28 03:07:52.499991,0.13,0.2532900047302246,-8.2492895,-0.085064024,-0.002300044,-8.240893,-8.14232,-8.364654,58.4078,46.99895,58.32296
2010-06-29 15:07:30.000013,0.12,0.2490399932861328,-8.165393,-0.0851226,-0.0022945402,-8.296688,-8.066759,-8.1327305,37.455643,28.086632,37.451035
2010-06-30 14:46:43.124016,0.142,0.24375,-8.422057,-0.08512437,-0.0022926084,-8.383271,-8.551529,-8.331373,62.95628,51.592384,62.974358
2010-07-01 02:05:46.875017,0.146,0.2421500015258789,-8.434419,-0.08506167,-0.0022940713,-8.424477,-8.357587,-8.5211935,53.876717,42.760647,53.829693
2010-07-02 15:45:22.499012,0.141,0.2364500045776367,-8.601665,-0.08498338,-0.0022958566,-8.726182,-8.514231,-8.564581,43.109383,32.926674,43.189587
2010-07-03 03:04:22.500004,0.136,0.2344700050354004,-8.534346,-0.08494718,-0.0022949683,-8.538651,-8.534247,-8.530138,54.762157,43.475254,54.676895
2010-07-04 15:03:58.125000,0.127,0.22999000549316406,-8.463193,-0.08488538,-0.0022996387,-8.563447,-8.531148,-8.294985,43.047997,32.824585,43.050182
2010-07-06 02:02:16.874990,0.117,0.22288999557495118,-8.414506,-0.084771074,-0.0023113887,-8.363736,-8.353043,-8.526739,57.41238,46.21368,57.35824
2010-07-06 16:02:30.000017,0.114,0.22239999771118163,-8.498975,-0.084771074,-0.0023113887,-8.374584,-8.8021555,-8.320185,62.150486,51.081512,62.28881
2010-07-07 15:41:52.499991,0.108,0.21878000259399413,-8.411845,-0.08472004,-0.002315982,-8.34827,-8.339112,-8.548152,37.674427,28.248888,37.737873
2010-07-08 03:00:50.624991,0.105,0.21575000762939453,-8.332936,-0.08468334,-0.0023215672,-8.319807,-8.339349,-8.339653,50.650215,39.60035,50.566986
2010-07-09 15:00:28.125013,0.099,0.25141000747680664,-8.415324,-0.084640115,-0.0023271565,-8.348835,-8.4898205,-8.407316,48.023254,37.23444,48.029774
2010-07-11 01:58:48.749987,0.097,0.24235000610351562,-8.431493,-0.084578246,-0.0023370527,-8.56011,-8.318131,-8.416237,60.583977,49.382866,60.51871
