,SSM_IS,TAU,SIG40
2010-06-02 16:06:18.750014,0.314,0.41442046,-8.866115
2010-06-04 03:04:56.250012,0.269,0.41354638,-8.997005
2010-06-05 15:04:13.124999,0.253,0.413223,-8.934647
2010-06-06 02:23:31.874994,0.288,0.41286623,-8.625714
2010-06-07 16:02:48.749986,0.321,0.41257292,-9.01664
2010-06-08 03:22:09.375006,0.297,0.4122367,-9.155625
2010-06-09 03:01:22.499009,0.273,0.4122354,-8.938888
2010-06-10 15:00:39.375002,0.344,0.41218454,-8.555715
2010-06-11 02:19:59.999016,0.36,0.41203392,-8.315124
2010-06-12 15:59:18.749999,0.323,0.41193238,-8.62478
2010-06-13 03:18:37.499993,0.302,0.41176337,-8.861546
2010-06-14 15:17:56.250006,0.275,0.4116749,-8.80865
2010-06-15 14:57:09.374009,0.293,0.41169026,-8.908772
2010-06-16 02:16:31.875019,0.312,0.41170242,-8.304005
2010-06-17 15:55:50.623990,0.283,0.41176882,-8.888974
2010-06-18 03:15:07.500006,0.267,0.41177684,-8.943878
2010-06-19 15:14:26.249012,0.249,0.411742,-8.829185
2010-06-21 02:13:03.749976,0.215,0.4118132,-8.957881
2010-06-21 16:12:58.124995,0.211,0.4118132,-8.79341
2010-06-22 15:52:20.625008,0.197,0.41198286,-9.024393
2010-06-23 03:11:37.499012,0.186,0.4122012,-8.8660965
2010-06-24 15:10:56.249991,0.173,0.41239724,-9.001096
2010-06-26 02:09:35.625014,0.178,0.4126904,-8.958677
2010-06-26 16:09:29.998987,0.175,0.4126904,-8.982398
2010-06-28 03:08:07.499991,0.154,0.41291425,-9.055968
2010-06-29 15:07:26.250003,0.158,0.4129335,-8.995225
2010-06-30 02:26:43.125013,0.153,0.41289687,-9.089905
2010-07-01 02:06:05.624986,0.145,0.41275918,-9.236695
2010-07-01 16:06:01.874990,0.142,0.41275918,-9.3049345
2010-07-03 03:04:37.500003,0.128,0.41265374,-9.221227
2010-07-04 15:03:56.250016,0.12,0.41258526,-9.155106
2010-07-05 02:23:15.000010,0.119,0.412611,-9.155818
2010-07-06 16:02:31.875002,0.11,0.4127399,-9.2196865
2010-07-07 03:21:54.375007,0.107,0.41287386,-9.135688
2010-07-08 03:01:07.500016,0.103,0.4131417,-9.309649
2010-07-09 15:00:24.375003,0.095,0.41336116,-9.096241
2010-07-10 02:19:45.000023,0.1,0.41356602,-8.071441
2010-07-11 15:59:03.749999,0.108,0.41369197,-8.897868
2010-07-12 03:18:22.499994,0.106,0.41377443,-9.085366
2010-07-13 15:17:41.250007,0.171,0.4139387,-8.340684
2010-07-14 14:56:54.375016,0.175,0.4141758,-8.944178
2010-07-15 02:16:14.999995,0.162,0.4143932,-8.901317
2010-07-16 15:55:33.750012,0.142,0.41467455,-9.096256
2010-07-17 03:14:52.500007,0.133,0.41485664,-9.0224085
2010-07-18 15:14:09.374994,0.122,0.4150554,-8.900882
2010-07-20 02:12:46.873987,0.167,0.41558662,-8.9723625
2010-07-20 16:12:41.250011,0.163,0.41558662,-8.909975
2010-07-21 15:52:03.750025,0.146,0.4159554,-9.170625
2010-07-22 03:11:20.624994,0.138,0.4162817,-8.743527
2010-07-23 15:10:39.375007,0.127,0.41637793,-8.9626875
2010-07-25 02:09:16.875005,0.109,0.416773,-8.973832
2010-07-25 16:09:13.125008,0.106,0.416773,-8.931711
2010-07-27 03:07:50.625007,0.096,0.4172625,-8.995042
2010-07-28 15:07:07.499994,0.09,0.4173959,-8.955142
2010-07-29 02:26:24.375004,0.107,0.41754806,-8.270584
2010-07-30 02:05:48.750002,0.198,0.41771796,-8.909835
2010-07-30 16:05:43.125021,0.194,0.41771796,-9.042928
2010-08-01 03:04:18.749994,0.221,0.41810566,-8.621537
2010-08-02 15:03:37.500007,0.2,0.41833454,-8.955909
2010-08-03 02:22:56.250001,0.186,0.4184211,-8.973848
2010-08-04 16:02:13.124993,0.17,0.41866294,-8.941713
2010-08-05 03:21:33.750013,0.16,0.41889325,-8.836293
2010-08-06 03:00:48.750007,0.22,0.41918123,-8.096715
2010-08-07 15:00:05.624994,0.236,0.41951993,-8.839406
2010-08-08 02:19:26.250014,0.213,0.4198075,-9.061714
2010-08-09 15:58:43.125006,0.19,0.4200726,-9.124512
2010-08-10 03:18:03.749020,0.18,0.4203846,-8.911853
2010-08-11 15:17:20.625013,0.245,0.42065594,-9.000852
2010-08-12 14:56:33.749016,0.218,0.42090607,-8.923253
2010-08-13 02:15:56.249986,0.205,0.42119455,-8.863197
2010-08-14 15:55:13.124012,0.19,0.42135072,-9.119887
2010-08-15 03:14:31.875013,0.181,0.42143035,-8.433198
2010-08-16 15:13:48.750000,0.174,0.42163187,-9.001286
2010-08-18 02:12:26.249999,0.281,0.42252406,-8.45607
2010-08-18 16:12:20.625017,0.294,0.42252406,-8.193512
2010-08-19 15:51:43.124991,0.305,0.42290515,-8.161975
2010-08-20 03:11:00.000000,0.277,0.4232961,-8.762186
2010-08-21 15:10:16.874988,0.255,0.4235918,-8.910092
2010-08-23 02:08:56.250011,0.264,0.42401236,-8.937224
2010-08-23 16:08:50.624990,0.261,0.42401236,-8.955171
2010-08-25 03:07:28.124988,0.231,0.42397207,-9.176326
2010-08-26 15:06:45.000016,0.219,0.4239269,-9.055913
2010-08-27 02:26:01.874020,0.207,0.4238956,-9.198022
2010-08-28 02:05:26.249983,0.194,0.42381105,-9.050941
2010-08-28 16:05:20.625002,0.192,0.42381105,-9.027438
2010-08-30 03:03:56.250016,0.172,0.42390084,-9.181945
2010-08-31 15:03:13.125003,0.165,0.42402008,-9.084659
2010-09-01 02:22:31.874998,0.158,0.4240055,-9.229577
2010-09-02 16:01:48.749990,0.15,0.42405596,-9.101796
2010-09-03 03:21:11.249994,0.143,0.42391413,-9.100408
2010-09-04 03:00:24.375003,0.137,0.4238755,-9.478232
2010-09-05 14:59:41.249991,0.131,0.42374447,-9.34708
2010-09-06 02:19:01.875010,0.126,0.42364106,-9.547477
2010-09-07 15:58:18.750002,0.119,0.42348498,-9.271716
2010-09-08 03:17:37.499997,0.115,0.423234,-9.232034
2010-09-09 15:16:56.250009,0.125,0.42288807,-9.180133
2010-09-10 14:56:09.374012,0.124,0.42274743,-9.238344
2010-09-11 02:15:29.999998,0.123,0.42254862,-8.962985
2010-09-12 15:54:46.874990,0.26,0.42231208,-8.925123
2010-09-13 03:14:05.625025,0.244,0.42205998,-9.344404
2010-09-14 15:13:22.500012,0.221,0.42166334,-8.974383
2010-09-16 02:12:00.000010,0.197,0.42141435,-8.978494
2010-09-16 16:11:54.374023,0.195,0.42141435,-9.048562
2010-09-17 15:51:16.875002,0.308,0.42128655,-8.945497
2010-09-18 03:10:33.750012,0.282,0.42110637,-9.141652
2010-09-19 15:09:50.624999,0.259,0.42087826,-9.039726
2010-09-21 02:08:28.124998,0.228,0.42050087,-9.165192
2010-09-21 16:08:22.499976,0.227,0.42050087,-8.9770565
2010-09-23 03:06:59.999009,0.218,0.4202294,-9.171628
2010-09-24 15:06:18.749987,0.204,0.42002898,-9.270361
2010-09-25 02:25:35.624997,0.191,0.41969946,-9.356541
2010-09-26 02:04:58.125010,0.293,0.41940013,-9.224876
2010-09-26 16:04:52.499023,0.287,0.41940013,-9.432155
2010-09-28 03:03:28.125002,0.331,0.41901478,-8.59764
2010-09-29 15:02:44.999990,0.292,0.4187838,-9.35299
2010-09-30 02:22:03.750025,0.277,0.4185465,-9.453789
2010-10-01 16:01:20.624976,0.253,0.41831642,-9.569492
2010-10-02 03:20:43.125021,0.24,0.4180959,-9.697594
2010-10-03 02:59:56.249990,0.226,0.41794002,-9.85906
2010-10-04 14:59:13.125017,0.217,0.417685,-10.049019
2010-10-05 02:18:31.875012,0.213,0.41725254,-10.15404
2010-10-06 15:57:50.624023,0.204,0.41667044,-9.917024
2010-10-07 03:17:11.250008,0.197,0.4161771,-9.843296
2010-10-08 15:16:31.875006,0.185,0.41571718,-9.608895
2010-10-09 14:55:46.874999,0.175,0.4152768,-9.463559
2010-10-10 02:15:09.375004,0.164,0.41479588,-9.691373
2010-10-11 15:54:30.000006,0.152,0.41428342,-9.588458
2010-10-12 03:13:48.750000,0.143,0.41369858,-9.583792
2010-10-13 15:13:09.374998,0.146,0.4129919,-9.3256035
2010-10-15 02:11:48.750021,0.154,0.41209912,-9.857646
2010-10-15 16:11:43.125000,0.155,0.41209912,-9.40168
2010-10-16 15:51:07.499998,0.153,0.41165274,-9.6980505
2010-10-17 03:10:24.375008,0.15,0.41103002,-9.836774
2010-10-18 15:09:45.000005,0.144,0.41039956,-9.542958
2010-10-20 02:08:26.250013,0.137,0.40927744,-9.511688
2010-10-20 16:08:22.499976,0.136,0.40927744,-9.440781
2010-10-22 03:07:01.874999,0.126,0.40813175,-9.789998
2010-10-23 15:06:22.499997,0.121,0.4075148,-9.475184
2010-10-24 02:25:41.249991,0.118,0.40695152,-9.693927
2010-10-25 02:05:05.624990,0.116,0.40638748,-9.07982
2010-10-25 16:05:00.000008,0.297,0.40638748,-8.9081545
2010-10-27 03:03:39.374991,0.32,0.40560707,-8.267353
2010-10-28 15:02:59.999023,0.288,0.40530312,-8.938907
2010-10-29 02:22:18.749983,0.269,0.40503412,-9.193484
2010-10-30 16:01:37.500000,0.257,0.4047205,-9.161358
2010-10-31 03:21:00.000005,0.245,0.4044849,-9.186954
2010-11-01 03:00:14.999999,0.232,0.40435398,-9.599014
2010-11-02 14:59:35.623990,0.222,0.4041319,-9.072174
2010-11-03 02:18:56.250016,0.217,0.40379742,-9.315437
2010-11-04 15:58:14.998987,0.322,0.40343335,-8.916732
2010-11-05 03:17:35.625012,0.305,0.40311792,-9.167233
2010-11-06 15:16:56.250009,0.308,0.4028909,-9.171783
2010-11-07 14:56:11.250003,0.297,0.4026681,-9.342023
2010-11-08 02:15:33.750008,0.291,0.40236545,-9.580429
2010-11-09 15:54:52.500025,0.275,0.4019461,-9.113725
2010-11-10 03:14:11.250019,0.266,0.40155795,-9.161395
2010-11-11 15:13:31.874976,0.254,0.40121803,-9.279346
2010-11-13 02:12:11.250000,0.238,0.40049577,-9.175453
2010-11-13 16:12:05.624012,0.236,0.40049577,-8.840446
2010-11-14 15:51:29.999976,0.242,0.40006754,-8.750262
2010-11-15 03:10:46.874986,0.264,0.39959377,-9.006033
2010-11-16 15:10:07.499983,0.367,0.39907384,-8.024678
2010-11-18 02:08:48.749991,0.325,0.3979743,-9.158347
2010-11-18 16:08:43.125010,0.321,0.3979743,-8.933907
2010-11-20 03:07:22.499993,0.305,0.39689276,-9.166138
2010-11-21 15:06:43.124991,0.294,0.3962696,-9.041108
2010-11-22 02:26:00.000000,0.287,0.39551657,-9.104733
2010-11-23 02:05:24.374999,0.275,0.39472023,-8.831586
2010-11-23 16:05:20.625002,0.375,0.39472023,-8.428
2010-11-25 03:03:58.125000,0.324,0.39321905,-8.694631
2010-11-26 15:03:18.749998,0.346,0.3925315,-9.49467
2010-11-27 02:22:37.498987,0.339,0.3917624,-9.970749
2010-11-28 16:01:58.124994,0.32,0.3909621,-9.372008
2010-11-29 03:21:18.750014,0.315,0.39021003,-9.221045
